@relation testOne

@attribute m1 numeric
@attribute m2 numeric
@attribute m3 numeric
@attribute m4 numeric
@attribute m5 numeric
@attribute m6 numeric
@attribute m7 numeric
@attribute m8 numeric
@attribute m9 numeric
@attribute m10 numeric
@attribute class {Deer,Cattle,Elk}

@data
0.348485,0.364691,0.074579,0.428908,0.395529,0.047951,0.389695,0.32859,0.03073,0.369479,Deer
0.34188,0.370411,0.057015,0.430277,0.398434,0.036293,0.387493,0.334182,0.029546,0.367091,Cattle
0.342719,0.368495,0.08798,0.428253,0.396419,0.052209,0.386284,0.333402,0.032904,0.36645,Cattle
0.342275,0.366511,0.111165,0.427868,0.395445,0.036327,0.385937,0.330662,0.057024,0.365863,Cattle
0.244066,0.361278,0,0.42527,0.417748,0.338248,0.348567,0.312094,0.136739,0.320204,Elk
0.220221,0.224361,0.253254,0.480389,0.310084,0.484722,0.32353,0.137353,0.290596,0.259157,Deer
0.072775,0.276056,0.524457,0.423184,0.230939,0.350595,0,0.207972,0.490351,0.066413,Elk
0.346897,0.362639,0.046183,0.43433,0.402041,0.004978,0.394975,0.318119,0.017243,0.371772,Cattle
0.187625,0.336342,0.539653,0.098325,0.300663,0.214774,0.229048,0.358252,0.424127,0.231433,Elk
0.082918,0.334517,0.573154,0.336668,0.242186,0.171789,0.119613,0.423517,0.375135,0.129641,Elk
0.211906,0.390732,0.324765,0.432509,0.386982,0.027842,0.318155,0.390562,0.154429,0.285916,Elk
0.348265,0.366764,0.107043,0.417305,0.390869,0.066447,0.383545,0.336687,0.078295,0.367158,Cattle
0.300718,0.094149,0.614687,0.328227,0.144874,0.386634,0.107236,0.243631,0.353241,0.221411,Elk
0.298826,0.366046,0.300971,0.361345,0.372597,0.117302,0.340298,0.346687,0.240784,0.330152,Deer
0.097354,0.015234,0.521995,0.205129,0.039987,0.606348,0.097221,0.058159,0.536463,0.076484,Deer
0,0.153159,0.73037,0.092029,0.037919,0.097315,0.084878,0.3052,0.568154,0.023982,Elk
0.047856,0.039336,0.520261,0.2625,0.111412,0.592733,0.121808,0,0.523034,0.066617,Deer
0.341998,0.369889,0.066435,0.429127,0.397768,0.047667,0.386699,0.334431,0.036931,0.366633,Cattle
0.278643,0.271834,0.179604,0.476328,0.344861,0.395789,0.357918,0.197392,0.227081,0.308391,Deer
0.339255,0.346138,0.005026,0.467733,0.39359,0.125145,0.395053,0.295463,0.014659,0.36351,Deer
0.341934,0.36633,0.096631,0.432425,0.396399,0.026538,0.387423,0.329228,0.046449,0.366159,Cattle
0.346472,0.366344,0.108573,0.421352,0.392202,0.062876,0.384304,0.334709,0.067141,0.366634,Cattle
0.339553,0.370283,0.073769,0.432667,0.399605,0.006244,0.387263,0.333311,0.016618,0.365901,Cattle
0.014448,0.256577,0.418927,0.414123,0.235934,0.538023,0.306064,0.287846,0.159816,0.199392,Elk
0.340158,0.370422,0.093832,0.427872,0.397879,0.038086,0.385413,0.334754,0.035786,0.365458,Cattle
0.058932,0.078765,0.573621,0.019186,0.012137,0.572367,0.032063,0.156932,0.553217,0.038182,Elk
0.24412,0.382318,0.360365,0.351981,0.383056,0.073302,0.323548,0.366745,0.238777,0.303612,Elk
0.097197,0.018459,0.527196,0.221182,0.059983,0.591173,0.108702,0.075657,0.535731,0.075654,Deer
0.341187,0.371305,0.076645,0.428352,0.398882,0.01526,0.386586,0.3359,0.018377,0.366619,Cattle
0.344674,0.370927,0.091113,0.422334,0.396067,0.014416,0.385327,0.338441,0.043335,0.367386,Cattle
0.342213,0.349043,0.034485,0.464507,0.394531,0.085856,0.396205,0.299971,0.011224,0.366047,Deer
0.341902,0.371839,0.054984,0.428414,0.399104,0.032197,0.386865,0.336692,0.012267,0.367124,Cattle
0.138018,0.165634,0.527695,0.522197,0.300084,0.114717,0.292581,0.038457,0.411237,0.207259,Elk
0.020833,0.010512,0.539095,0.123981,0.013025,0.623097,0.015278,0.021347,0.551682,0,Deer
0.028235,0.03544,0.514176,0.246304,0.08726,0.610657,0.111839,0.014056,0.524982,0.063842,Deer
0.164717,0.328311,0.576515,0.068796,0.205413,0.273781,0.165964,0.361398,0.457183,0.208943,Elk
0.079125,0.020008,0.550528,0.025154,0.004525,0.607981,0.048532,0.080178,0.555942,0.04592,Deer
0.017353,0.047232,0.571855,0.038019,0,0.589494,0.025476,0.096232,0.557736,0.022875,Elk
0.126019,0.213931,0.512624,0.182317,0.224444,0.492745,0.19205,0.207919,0.490989,0.16725,Deer
0.346476,0.36367,0.059817,0.436368,0.397218,0.034037,0.391374,0.324438,0.005695,0.369184,Deer
