@relation testTwo

@attribute m1 numeric
@attribute m2 numeric
@attribute m3 numeric
@attribute m4 numeric
@attribute m5 numeric
@attribute m6 numeric
@attribute m7 numeric
@attribute m8 numeric
@attribute m9 numeric
@attribute m10 numeric
@attribute class {Deer,Cattle,Elk}

@data
0.014198,0.045403,0.025761,0.140155,0.038639,0.613765,0.546062,0.471951,0.279746,0.007079,Cattle
0.01427,0.105236,0.033904,0.044866,0.004057,0.614558,0.550079,0.47261,0.286143,0.005924,Cattle
0.020521,0.065071,0.023433,0.130609,0.045959,0.614581,0.54928,0.468215,0.277437,0.003112,Cattle
0.141631,0.343093,0.222131,0.54546,0.23566,0.156324,0.319249,0.375284,0.387174,0.206698,Elk
0.379742,0.358362,0.346514,0.502521,0.443653,0.024146,0.027808,0.040742,0.154922,0.361842,Deer
0.070715,0.047705,0.024171,0.232796,0.145972,0.592714,0.529245,0.456455,0.271813,0.054714,Cattle
0.329128,0.075759,0.250068,0.499977,0.389346,0.422322,0.302328,0.243028,0.055888,0.299816,Elk
0.234709,0.126958,0.150118,0.462113,0.349385,0.499872,0.407941,0.32309,0.081554,0.208116,Deer
0.381232,0.351384,0.342967,0.510426,0.44853,0.036101,0.01893,0.017188,0.134686,0.362979,Deer
0.283836,0.301099,0.276512,0.672184,0.474144,0.124442,0.038544,0.072387,0.025894,0.229764,Elk
0.373506,0.34621,0.331669,0.524266,0.451838,0.11575,0.07506,0,0.094164,0.351734,Deer
0.292602,0.364055,0.270957,0.5825,0.433822,0.193766,0.129152,0.179915,0.174524,0.252724,Elk
0.354762,0.351845,0.319088,0.519018,0.440155,0.18141,0.126889,0.122111,0.111594,0.330214,Deer
0.035079,0.058564,0.020102,0.203388,0.102887,0.617262,0.550448,0.446267,0.244577,0.002203,Cattle
0.333326,0.280389,0.233318,0.641713,0.490409,0.032693,0.057106,0.084386,0.066158,0.296165,Elk
0.019408,0.039252,0.030913,0.129354,0.04547,0.619824,0.549125,0.469615,0.268067,0.014459,Cattle
0.381563,0.351557,0.345898,0.500631,0.443655,0.053516,0.05942,0.036542,0.151895,0.364567,Deer
0.128366,0.301719,0.127864,0.512741,0.323573,0.474327,0.354543,0.372719,0.119063,0.06894,Elk
0.064018,0.057883,0.033262,0.006616,0.030386,0.617074,0.548606,0.475731,0.283112,0.047509,Cattle
0.061522,0.090325,0.025051,0.273055,0.170421,0.59137,0.521328,0.4466,0.249069,0.02897,Cattle
0.153517,0.223744,0.102189,0.516936,0.339128,0.473725,0.357424,0.367658,0.191467,0.098486,Elk
0.011248,0.074784,0.030028,0.046791,0.047726,0.618306,0.54838,0.476511,0.280653,0.007711,Cattle
0.262596,0.386766,0.244315,0.584727,0.42502,0.246479,0.184145,0.195611,0.144931,0.212812,Elk
0.344938,0.249319,0.27207,0.53237,0.439696,0.304184,0.242366,0.110373,0.013594,0.323188,Deer
0.379115,0.355466,0.345585,0.498918,0.441532,0.072862,0.067139,0.039797,0.15592,0.361809,Deer
0.031743,0.07063,0.016188,0.140973,0.037461,0.614921,0.544397,0.471887,0.274354,0.004642,Cattle
0.340073,0.31575,0.288141,0.591388,0.469826,0.161827,0.086632,0.068287,0.031046,0.303037,Elk
0,0.054614,0.026678,0.152246,0.046962,0.611999,0.543623,0.471944,0.2795,0.001062,Cattle
0.026032,0.061559,0.037331,0.145412,0.051226,0.60108,0.540451,0.474755,0.302188,0.01662,Cattle
0.32841,0.22709,0.261385,0.484217,0.406064,0.373002,0.317903,0.185397,0.028683,0.312272,Deer
0.371409,0.358882,0.33236,0.531121,0.45423,0.004111,0.020112,0.033045,0.107615,0.348261,Elk
0.081319,0.127131,0.080109,0.55413,0.31574,0.53434,0.373717,0.359652,0.070114,0.067873,Elk
0.011412,0.018925,0.022714,0.140656,0.033786,0.6259,0.556697,0.460082,0.254403,0.003346,Cattle
0.187322,0.081575,0.124846,0.33165,0.254467,0.55541,0.495931,0.377803,0.19752,0.178176,Deer
0.259985,0.388833,0.267939,0.515296,0.383709,0.218118,0.193099,0.271926,0.29609,0.224024,Elk
0.017193,0.037229,0.021815,0.105109,0.010854,0.617956,0.555592,0.465208,0.280778,0.029481,Deer
0.014883,0.100114,0.035233,0.00649,0.00674,0.615455,0.547219,0.477068,0.285568,0.032409,Cattle
0.062855,0.296871,0.249149,0.124218,0.096933,0.529645,0.233036,0.207578,0.635088,0.199399,Elk
0.369454,0.361975,0.331496,0.532277,0.453798,0.002653,0.017912,0.037306,0.109718,0.345802,Elk
0.195333,0.300259,0.206065,0.389846,0.2886,0.454079,0.386037,0.380335,0.254982,0.170512,Deer
