
@RELATION dataset
 
 
@ATTRIBUTE m1 REAL
@ATTRIBUTE m2 REAL
@ATTRIBUTE m3 REAL
@ATTRIBUTE m4 REAL
@ATTRIBUTE m5 REAL
@ATTRIBUTE m6 REAL
@ATTRIBUTE m7 REAL
@ATTRIBUTE m8 REAL
@ATTRIBUTE m9 REAL
@ATTRIBUTE m10 REAL

@ATTRIBUTE class {Scale 2, Scale 3}
 
@DATA

1.43238,3.53023,13.56882,6.59397,3.46151,3.76286,24.94971,9.21605,10.36536,7.58788,Scale 2
32.39902,21.44027,59.70193,21.74885,43.07606,21.75738,0,34.69817,22.31245,21.84526,Scale 2
14.33463,3.82099,15.89342,9.85698,7.5295,2.28094,37.47382,13.95182,16.54478,8.66012,Scale 2
6.64648,8.67078,22.65517,1.02722,22.26813,2.68882,2.11758,6.62877,3.94323,5.89528,Scale 2
5.18341,7.80016,32.43672,18.55177,26.42774,22.13684,16.30942,7.78405,8.16281,19.75392,Scale 2
18.78775,7.63806,34.81193,6.37029,14.48243,1.15898,42.53348,21.24062,11.55192,6.01942,Scale 2
19.71854,11.80095,42.7735,6.46108,22.6032,2.3641,42.50874,24.29399,12.63053,6.68172,Scale 2
14.3383,5.83631,17.73415,5.48408,4.42642,3.47786,36.73578,16.83805,6.61963,4.0093,Scale 2
3.36467,0.22361,14.82171,14.24595,9.98772,12.41297,22.20507,8.64793,10.70779,14.32685,Scale 2
1.32395,2.32002,23.32818,14.713,8.40418,12.19245,11.42041,1.53222,11.63114,14.69779,Scale 2
5.32108,1.80693,25.91139,5.79956,10.68465,8.82974,14.7341,7.09655,5.99579,7.02927,Scale 2
7.79946,3.5107,29.4898,1.2458,12.59473,7.36704,14.04816,7.95959,2.66725,3.84873,Scale 2
11.33235,11.10608,40.03797,9.39962,32.13007,19.4382,31.3907,13.8572,1.08186,12.0524,Scale 2
1.93311,2.73359,0,14.55805,7.82095,9.42941,4.14069,0.52998,12.64708,14.38482,Scale 2
15.18017,6.81212,36.26611,10.51402,17.33916,1.27015,37.92396,19.65902,16.06132,8.91003,Scale 2
28.16625,18.76466,55.42096,15.99477,38.44417,17.10044,51.27746,31.17861,17.74759,16.28157,Scale 2
8.01234,6.82422,33.98339,1.63962,13.86001,3.05243,23.34529,9.09381,2.14067,3.79703,Scale 2
10.48902,5.59017,34.07369,4.0349,16.23116,6.77749,33.1632,16.72002,8.72492,5.11985,Scale 2
10.52163,11.19732,37.6358,5.07905,31.7097,14.21666,24.98404,11.96829,0.99813,7.49007,Scale 2
5.1195,0.31623,26.47429,3.3406,15.51426,3.82317,23.49035,9.36922,9.1694,4.45637,Scale 2
