@RELATION dataset
 
 
@ATTRIBUTE m1 REAL
@ATTRIBUTE m2 REAL
@ATTRIBUTE m3 REAL
@ATTRIBUTE m4 REAL
@ATTRIBUTE m5 REAL
@ATTRIBUTE m6 REAL
@ATTRIBUTE m7 REAL
@ATTRIBUTE m8 REAL
@ATTRIBUTE m9 REAL
@ATTRIBUTE m10 REAL

@ATTRIBUTE class {Elk,Deer,Cattle}
 
@DATA

1.0,7.0,7.0,10.0,2.0,12.0,12.0,11.0,7.0,13.0,Deer
10.0,8.0,8.0,4.0,9.0,7.0,7.0,2.0,7.0,8.0,Deer
12.0,13.0,14.0,1.0,9.0,1.0,1.0,2.0,12.0,1.0,Elk
3.0,2.0,0.0,3.0,4.0,6.0,6.0,3.0,1.0,7.0,Elk
4.0,4.0,2.0,16.0,11.0,16.0,17.0,15.0,6.0,17.0,Elk
4.0,2.0,0.0,8.0,8.0,9.0,10.0,5.0,3.0,10.0,Elk
7.0,5.0,5.0,4.0,8.0,2.0,3.0,1.0,4.0,3.0,Elk
3.0,3.0,3.0,15.0,10.0,16.0,16.0,14.0,6.0,16.0,Elk
11.0,13.0,14.0,1.0,8.0,5.0,4.0,7.0,13.0,5.0,Deer
2.0,2.0,1.0,6.0,2.0,8.0,8.0,3.0,2.0,9.0,Elk
3.0,3.0,2.0,6.0,9.0,6.0,7.0,2.0,4.0,8.0,Elk
4.0,1.0,0.0,4.0,1.0,5.0,6.0,0.0,2.0,6.0,Elk
10.0,13.0,14.0,1.0,7.0,5.0,4.0,6.0,13.0,6.0,Deer
4.0,3.0,2.0,4.0,3.0,6.0,7.0,5.0,2.0,8.0,Elk
0.0,5.0,5.0,7.0,3.0,6.0,7.0,2.0,5.0,7.0,Elk
3.0,1.0,0.0,9.0,9.0,9.0,10.0,4.0,2.0,10.0,Elk
2.0,3.0,3.0,11.0,4.0,13.0,13.0,11.0,5.0,13.0,Elk
6.0,2.0,2.0,6.0,7.0,6.0,7.0,3.0,2.0,8.0,Elk
4.0,8.0,7.0,18.0,11.0,19.0,19.0,19.0,11.0,19.0,Deer
7.0,2.0,1.0,10.0,13.0,9.0,10.0,4.0,5.0,10.0,Elk
11.0,15.0,16.0,3.0,8.0,5.0,5.0,9.0,16.0,7.0,Deer
4.0,1.0,0.0,10.0,9.0,11.0,12.0,7.0,3.0,12.0,Elk
13.0,15.0,15.0,2.0,11.0,1.0,1.0,6.0,15.0,3.0,Deer
3.0,3.0,2.0,15.0,10.0,16.0,16.0,14.0,6.0,16.0,Elk
5.0,9.0,8.0,19.0,13.0,19.0,19.0,19.0,13.0,19.0,Deer
5.0,1.0,1.0,10.0,7.0,12.0,12.0,8.0,2.0,12.0,Deer
5.0,10.0,10.0,19.0,13.0,19.0,19.0,19.0,13.0,19.0,Deer
11.0,13.0,14.0,1.0,7.0,4.0,3.0,6.0,13.0,5.0,Deer
2.0,8.0,8.0,16.0,8.0,17.0,17.0,16.0,10.0,17.0,Deer
1.0,6.0,6.0,14.0,7.0,16.0,16.0,15.0,8.0,16.0,Deer
0.0,3.0,2.0,13.0,6.0,14.0,15.0,12.0,5.0,15.0,Elk
3.0,1.0,0.0,6.0,8.0,7.0,7.0,2.0,0.0,8.0,Elk
5.0,1.0,0.0,7.0,6.0,6.0,8.0,2.0,2.0,8.0,Elk
12.0,8.0,7.0,10.0,14.0,9.0,10.0,4.0,7.0,10.0,Deer
3.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,6.0,Elk
