@RELATION dataset
 
 
@ATTRIBUTE m1 REAL
@ATTRIBUTE m2 REAL
@ATTRIBUTE m3 REAL
@ATTRIBUTE m4 REAL
@ATTRIBUTE m5 REAL
@ATTRIBUTE m6 REAL
@ATTRIBUTE m7 REAL
@ATTRIBUTE m8 REAL
@ATTRIBUTE m9 REAL
@ATTRIBUTE m10 REAL

@ATTRIBUTE class {Elk,Deer,Cattle}
 
@DATA

0.01824,0.02369,0.02096,0.04722,0.01405,0.02717,0.02691,0.03342,0.04434,0.01908,Deer
0.03256,0.02732,0.0229,0.0432,0.04887,0.05482,0.01181,0.06209,0.02026,0.03016,Deer
0.04231,0.04436,0.04007,0.06582,0.05569,0.06639,0.01791,0.07358,0,0.04601,Elk
0.00451,0.00452,0.00711,0.01507,0.01155,0.01521,0.01375,0.01563,0.02372,0.00734,Elk
0.0024,0.01216,0.02034,0.02193,0.01839,0.00205,0.04483,0,0.06612,0.00969,Elk
0.01014,0.00468,0.01316,0.00651,0.02122,0.02811,0.01945,0.02174,0.03607,0.00686,Elk
0.02931,0.0171,0.01089,0.03794,0.03734,0.04824,0.0153,0.04847,0.00527,0.01928,Elk
0.00124,0.01251,0.01864,0.02125,0.0084,0.00202,0.04203,0.00271,0.06463,0.00959,Elk
0.04028,0.04692,0.0401,0.07121,0.05127,0.06274,0.0185,0.07021,0.01781,0.04514,Deer
0.00544,0.00604,0.00624,0.02789,0.01073,0.01701,0.01324,0.00917,0.02843,0.00778,Elk
0.00162,0.00797,0.01546,0.02855,0.01137,0.00546,0.01394,0.00637,0.01885,0.00781,Elk
0.01802,0.00364,0.00776,0.01823,0.02507,0.02969,0.01462,0.03052,0.01288,0.00765,Elk
0.03887,0.04505,0.03816,0.06939,0.04928,0.06116,0.0168,0.0681,0.01702,0.04299,Deer
0.01795,0.00741,0.00634,0.03172,0.02532,0.03183,0,0.03407,0.01414,0,Elk
0.01357,0.0189,0.01336,0.04223,0.00339,0.01732,0.01575,0.02367,0.02238,0.0133,Elk
0.01271,0,0.00813,0.01778,0.01866,0.02468,0.02466,0.02111,0.03187,0.00665,Elk
0.00242,0.01193,0.01275,0.02627,0.01032,0.01574,0.02593,0.00481,0.04707,0.00848,Elk
0.02048,0.00604,0.0087,0.03095,0.03205,0.03742,0.01714,0.03842,0.01575,0.0072,Elk
0.00204,0.02765,0.0364,0.03909,0.00817,0.00783,0.05465,0.0055,0.07644,0.02417,Deer
0.01386,0.00739,0.01766,0.01189,0.03236,0.03251,0.02678,0.02793,0.03442,0.01003,Elk
0.0402,0.05291,0.04761,0.07872,0.05061,0.06095,0.02636,0.07129,0.02184,0.05004,Deer
0.0043,0.00442,0.00796,0.01145,0.02037,0.01683,0.02542,0.00619,0.04435,0.00566,Elk
0.04001,0.04908,0.0459,0.07628,0.06096,0.06626,0.02151,0.0792,0.00607,0.04842,Deer
0.00034,0.01134,0.01847,0.02285,0.01403,0.00341,0.0423,0.00715,0.06504,0.00908,Elk
0.00242,0.03172,0.04014,0.0432,0.01236,0.00422,0.05857,0.00556,0.08115,0.02815,Deer
0.0206,0.0044,0.00309,0.01579,0.02658,0.03513,0.02367,0.0307,0.04788,0.00695,Deer
0.007,0.03474,0.04127,0.05035,0.01131,0.0038,0.05819,0.01533,0.08079,0.02993,Deer
0.03556,0.04523,0.0401,0.0713,0.05024,0.05722,0.01743,0.06984,0.01472,0.04322,Deer
0.0117,0.02736,0.03091,0.04726,0,0.01456,0.04527,0.02128,0.06778,0.02184,Deer
0.01105,0.02211,0.02567,0.04031,0.00335,0.0124,0.04107,0.01536,0.06542,0.01692,Deer
0.00216,0.00971,0.01529,0.02988,0.00573,0.01255,0.03661,0.00798,0.04773,0.00945,Elk
0.00963,0.00319,0.0049,0.02135,0.01948,0.0208,0.02046,0.01868,0.02471,0.00738,Elk
0.02031,0.00385,0.00778,0.01902,0.02999,0.03687,0.0152,0.03205,0.02052,0.00761,Elk
0.03352,0.02426,0.02395,0.03652,0.05544,0.06051,0.02962,0.0624,0.0348,0.02959,Deer
0.01817,0.00723,0.00577,0.03116,0.01942,0.02929,0.01554,0.02665,0.02103,0.00484,Elk
0.04678,0.05033,0.04429,0.07234,0.06341,0.07429,0.02196,0.08071,0.0043,0.05156,Deer
0.00255,0.01205,0.014,0.02313,0.01213,0.01269,0.01417,0.00829,0.02436,0.0094,Elk
0.01744,0.00581,0.01982,0.01567,0.0353,0.03475,0.04815,0.03355,0.06318,0.01105,Deer
0,0.00971,0.02764,0.01993,0.01532,0.00783,0.05233,0.00516,0.06529,0.01527,Elk
0.00315,0.02597,0.03302,0.04019,0.00624,0.0072,0.0527,0.00803,0.07585,0.02158,Deer
0.02435,0.0148,0.00985,0.03098,0.02653,0.0395,0.01565,0.04159,0.03799,0.01651,Deer
0.01678,0.00844,0.00926,0.0092,0.03747,0.04041,0.01925,0.03905,0.03075,0.01599,Elk
0.01049,0.00575,0.00671,0.0266,0.01454,0.0204,0.02504,0.02106,0.04531,0.00659,Elk
0.01074,0.01935,0.02177,0.03628,0.00729,0.0201,0.03201,0.0179,0.05119,0.01494,Deer
0.00117,0.01184,0.01858,0.02247,0.01334,0.00318,0.04225,0.00567,0.06457,0.00896,Elk
0.04562,0.04999,0.04515,0.07271,0.06748,0.07597,0.02389,0.08306,0.00441,0.05197,Cattle
0.01784,0.00491,0.00731,0.01567,0.0311,0.03503,0.02425,0.03053,0.02999,0.00987,Elk
0.0436,0.04233,0.03622,0.06341,0.06031,0.07069,0.01745,0.07488,0.01512,0.04398,Cattle
0.02123,0.00557,0.00948,0.02346,0.02928,0.03676,0.02082,0.03519,0.02171,0.00755,Elk
0.04263,0.04479,0.0382,0.06668,0.05954,0.06936,0.01677,0.0753,0.00995,0.04593,Cattle
0.00384,0.03497,0.04259,0.04988,0.01109,0,0.05741,0.0122,0.07979,0.03051,Deer
0.04469,0.04598,0.04138,0.06869,0.06468,0.07325,0.02078,0.07964,0.00408,0.04741,Cattle
0.02721,0.0138,0.01739,0.03008,0.04696,0.05307,0.02787,0.05163,0.03624,0.02197,Deer
0.0426,0.04707,0.04145,0.06868,0.05923,0.06974,0.01896,0.07676,0.00694,0.04747,Cattle
0.01687,0.00537,0,0.02556,0.02396,0.0289,0.02129,0.02739,0.00785,0.0067,Elk
