@RELATION dataset
 
 
@ATTRIBUTE m1 REAL
@ATTRIBUTE m2 REAL
@ATTRIBUTE m3 REAL
@ATTRIBUTE m4 REAL
@ATTRIBUTE m5 REAL
@ATTRIBUTE m6 REAL
@ATTRIBUTE m7 REAL
@ATTRIBUTE m8 REAL
@ATTRIBUTE m9 REAL
@ATTRIBUTE m10 REAL

@ATTRIBUTE class {Scale 2, Scale 3}
 
@DATA

11.05241,20.07224,19.29261,23.69571,2.50705,13.12876,13.96919,24.18185,6.79599,8.6722,Scale 2
48.50754,0,0,0,26.96322,8.81056,0,0,17.9047,0,Scale 2
5.49469,32.33559,34.5676,5.47837,4.77772,4.20223,28.18384,35.40041,7.25672,12.16629,Scale 2
23.236,4.7243,1.14344,13.93195,9.86726,7.32376,3.3595,3.49268,1.84592,2.95987,Scale 2
21.28902,12.15403,8.72851,35.42902,21.58518,21.38499,6.45511,15.70489,18.819,18.16426,Scale 2
23.25771,37.67605,35.29053,15.89601,6.19999,5.2362,26.25537,41.62539,3.17176,9.41242,Scale 2
30.11914,37.7954,34.9696,15.20975,8.46935,5.29108,25.56792,41.73484,3.95909,8.52716,Scale 2
8.02854,31.43857,31.53503,20.34853,0,8.33677,25.00438,35.0276,2.66735,12.32732,Scale 2
1.7713,17.1978,18.87638,31.93547,11.61928,18.97963,15.67195,21.04699,14.02215,16.46725,Scale 2
9.42039,7.2986,8.8513,33.025,11.32731,20.25337,11.77026,10.94724,15.02891,16.42702,Scale 2
10.19323,10.69671,6.58742,25.04826,6.06248,13.02835,3.56753,13.97942,6.7375,6.91123,Scale 2
16.49039,10.53259,5.3658,19.78093,3.84668,8.50258,2.07283,13.35886,1.40608,2.23752,Scale 2
29.80672,27.39205,22.71702,4.15096,18.93489,3.32211,12.33101,30.74379,9.01499,7.97598,Scale 2
3.36195,4.60854,10.1686,32.36431,9.30281,20.24932,13.43258,5.01046,14.84836,16.23845,Scale 2
21.91606,33.0969,32.98456,12.57104,6.56701,5.45915,27.01462,37.10435,7.7594,13.57345,Scale 2
43.10041,46.96152,42.82263,0.8295,21.01651,4.64471,32.50379,50.56715,12.94481,17.40549,Scale 2
21.27702,19.02848,15.12315,20.38924,3.03741,8.91993,5.70353,22.58498,2.03397,2.7757,Scale 2
20.54386,28.40519,26.0092,22.34022,3.63342,9.74846,17.51973,32.39341,4.21679,5.54989,Scale 2
27.97324,21.067,16.2735,18.25448,14.00232,5.9702,6.00417,24.30764,3.65645,4.09279,Scale 2
10.82717,18.81914,20.36119,17.49634,7.32919,7.66081,16.68539,22.71449,1.36638,3.99404,Scale 2
25.04472,33.01989,30.27249,13.70604,4.58413,5.96113,21.09442,36.91105,0,4.47092,Scale 2
2.62171,22.92222,26.12679,30.17436,9.45654,18.43848,23.14301,24.93789,14.23155,18.71329,Scale 2
2.89639,2.09431,5.38513,43.49373,21.99019,28.95978,13.95755,2.21023,25.70488,26.37785,Scale 2
33.10042,34.12184,29.69011,3.42401,17.80729,1.79922,19.30322,37.61327,7.65389,7.36509,Scale 2
6.24662,31.43318,29.8405,16.88814,3.70006,5.44295,20.39728,34.43854,1.74312,3.40703,Scale 2
3.96129,18.72652,22.00286,38.95241,17.26868,25.77801,21.21777,22.07474,21.28048,23.50525,Scale 2
12.52763,4.32121,6.72924,26.40437,4.24175,15.15328,6.90854,8.21966,9.02922,9.75219,Scale 2
4.70641,16.41315,12.27032,24.44519,9.61603,11.7322,3.3249,19.86503,6.4604,7.10197,Scale 2
5.57651,21.02034,20.55874,28.73528,8.60492,16.34184,14.05843,24.26159,10.62776,10.6187,Scale 2
